Open,High,Low,Close,Volume
36360,36600,36020,36100,6552100
36260,36300,35980,36180,6354600
36020,36080,35600,35640,8334850
35600,36000,35560,35960,4823600
35980,36200,35860,35980,4653450
35840,35980,35600,35760,6662900
35420,36040,35400,36040,7516450
35980,36240,35880,36100,4650600
36280,36620,36020,36480,7357650
36500,36520,36100,36160,7971750
36060,36060,35540,35560,10967450
36180,36440,36040,36200,8880950
36600,37500,36560,37220,13194900
37280,37400,37080,37240,9099800
37520,38560,37420,38280,12018150
38000,38800,37980,38800,11669150
38100,38320,37460,37460,15954450
36860,37820,36320,36660,16611500
36580,37460,36580,36960,8150700
37040,37500,36620,36940,8875400
37720,37920,37020,37480,9418900
37120,37420,36880,37200,9185000
37200,38060,37000,38060,8810400
38120,38580,37880,38160,11048750
38340,39400,38320,39400,13433850
39420,40000,39420,39900,15214500
39900,39900,39460,39460,17992200
39540,39660,39040,39120,14150400
39600,39660,39200,39360,15029300
39400,39500,39180,39460,10386350
39580,39660,39140,39560,8860700
39560,39580,38760,38820,14041800
38740,38780,38200,38400,17092950
38780,38840,38220,38400,13694150
38400,38760,38300,38360,11020750
37740,38060,37720,37960,11102050
37960,38260,37320,37580,13124150
37080,37960,37080,37720,14191550
37800,38360,37780,38020,10226350
37560,38040,37280,37860,15377450
38220,38780,38160,38660,7485800
38540,39560,38420,38940,10562600
39000,39340,38980,39300,8539450
39020,39440,39020,39180,10217300
38960,39100,38060,38220,9296850
38020,38140,37700,38060,9033700
38060,38760,37960,38440,15088700
38420,39860,38420,39720,21249800
39340,39720,39160,39620,12708700
39220,40220,39220,40080,12234850
39800,40320,39800,40200,10553250
40200,40620,40140,40200,12140950
40200,40300,40020,40200,14372250
39960,40420,39860,40180,10227800
40040,40980,40040,40600,7424100
40620,41540,40500,41360,11325050
40800,41440,40800,41400,9587850
41800,42180,41540,41840,9933150
41800,42500,41720,42400,12602300
42000,42120,41740,41900,10250050
41780,42680,41760,42560,14220150
41600,42460,41580,42460,16427250
42200,42360,41700,41800,15397100
41600,41980,41080,41500,12808150
41200,41880,41180,41200,12177650
41560,41840,41380,41480,8216250
41740,41960,41580,41780,10093250
41880,42440,41880,41980,8204000
41820,42020,41200,41200,10500300
41400,41720,41300,41440,9579400
41600,42180,41520,42080,12255500
41900,42240,41700,42140,10699700
42000,42080,41600,41840,9683400
41800,41820,41160,41600,10021000
41940,41940,41500,41940,7141350
41940,41940,41580,41600,7172900
41860,41940,41700,41900,8274900
41660,42460,41660,42420,9040800
42160,42260,41760,42020,5462850
42000,42080,41520,41560,5224750
41680,41820,41280,41500,6860650
41300,41420,40900,40900,11762900
40580,40800,40080,40280,21148850
40480,41400,40480,40760,15130500
41260,41260,40920,41240,8990150
41460,42740,41320,42700,19299600
42700,42800,42520,42800,14794800
42700,44520,41960,43840,23032250
45780,45800,44520,44620,22685700
45500,45500,44760,44900,14068300
45700,45700,44860,45520,13690100
45520,47020,45340,47020,19582550
46160,47220,45600,45600,23410950
45420,46180,45220,45500,21277850
45760,46160,45660,45820,9422900
